Unnamed: 0,City_State,Clean_City,Population,Lat,Lng,Number of Stations,Stations per 1k Population
19843,"Sacramento, California",Sacramento,495011.0,38.5815719,-121.49439960000001,615,0.8048959349593496
19929,"Santa Ana, California",Santa Ana,333499.0,33.7454725,-117.867653,2837,0.1175534014804371
20022,"Los Angeles, California",Los Angeles,3959657.0,34.0522342,-118.24368490000002,2963,1.3363675329058387
20140,"Miami, Florida",Miami,451214.0,25.7616798,-80.1917902,474,0.951928270042194
20160,"St. Petersburg, Florida",St. Petersburg,259041.0,27.767600800000004,-82.64029149999998,371,0.6982237196765498
20313,"Orlando, Florida",Orlando,275690.0,28.5383355,-81.3792365,445,0.6195280898876404
20342,"Tampa, Florida",Tampa,376345.0,27.950575,-82.4571776,371,1.0144070080862535
20911,"Washington, District of Columbia",Washington,684498.0,38.9038855,-77.0106021,1111,0.6161098109810982
21364,"Atlanta, Georgia",Atlanta,479655.0,33.7489954,-84.3879824,788,0.6086992385786801
21756,"Jacksonville, Florida",Jacksonville,878907.0,30.3321838,-81.65565099999998,143,6.146202797202798
22798,"Urban Honolulu CDP, Hawaii,None","Urban Honolulu CDP, Hawaii",350003.0,21.3069444,-157.8583333,179,1.9553240223463686
23494,"Indianapolis city (balance), Indiana,None","Indianapolis city (balance), Indiana",857637.0,39.768403,-86.158068,126,6.806642857142856
23811,"Chicago, Illinois",Chicago,2718555.0,41.8781136,-87.62979820000001,569,4.777776801405975
24024,"Fort Wayne, Indiana",Fort Wayne,264052.0,41.079273,-85.13935129999999,35,7.5443428571428575
25498,"Wichita, Kansas",Wichita,389563.0,37.68717609999999,-97.330053,34,11.457735294117647
26957,"Lexington-Fayette urban county, Kentucky,None","Lexington-Fayette urban county, Kentucky",318734.0,38.040583700000006,-84.50371640000002,42,7.588904761904762
26958,"Louisville/Jefferson County metro government (balance), Kentucky,None","Louisville/Jefferson County metro government (balance), Kentucky",617032.0,38.2519861,-85.7591408,112,5.509214285714286
27002,"Baltimore, Maryland",Baltimore,614700.0,39.2903848,-76.6121893,1091,0.5634280476626948
27490,"New Orleans, Louisiana",New Orleans,389648.0,29.95106579999999,-90.0715323,67,5.815641791044777
28347,"St. Paul, Minnesota",St. Paul,302760.0,44.953702899999996,-93.0899578,269,1.1255018587360595
28414,"Minneapolis, Minnesota",Minneapolis,416021.0,44.977753,-93.2650108,271,1.5351328413284133
28450,"Boston, Massachusetts",Boston,679413.0,42.360082500000004,-71.0588801,779,0.8721604621309371
28554,"Detroit, Michigan",Detroit,677155.0,42.331427000000005,-83.0457538,270,2.5079814814814814
