City_State,Clean_City,Population,Lat,Lng,Max Temp,Min Temp,Number of Stations
"Fresno, California",Fresno,522277.0,36.737798100000006,-119.78712469999999,72.0,69.8,217
"Oakland, California",Oakland,421042.0,37.804351399999994,-122.27116389999999,48.99,46.0,1941
"Aurora, Colorado",Aurora,363550.0,39.729431899999994,-104.8319195,62.01,55.0,565
"Colorado Springs, Colorado",Colorado Springs,457502.0,38.8338816,-104.82136340000001,66.2,60.01,89
"Denver, Colorado",Denver,693417.0,39.739235799999996,-104.990251,63.0,55.0,570
"Irvine, California",Irvine,265502.0,33.6845673,-117.82650490000002,82.0,78.01,2766
"San Jose, California",San Jose,1026658.0,37.338208200000004,-121.88632859999998,73.99,68.0,1753
"San Francisco, California",San Francisco,870044.0,37.7749295,-122.4194155,70.0,62.6,1920
"Sacramento, California",Sacramento,495011.0,38.5815719,-121.49439960000001,72.0,68.0,609
"Santa Ana, California",Santa Ana,333499.0,33.7454725,-117.867653,81.0,75.2,2840
"Los Angeles, California",Los Angeles,3959657.0,34.0522342,-118.24368490000002,86.0,71.6,2966
"Miami, Florida",Miami,451214.0,25.7616798,-80.1917902,88.0,82.0,474
"Orlando, Florida",Orlando,275690.0,28.5383355,-81.3792365,86.0,82.0,458
"Tampa, Florida",Tampa,376345.0,27.950575,-82.4571776,84.2,82.99,376
"Washington, District of Columbia",Washington,684498.0,38.9038855,-77.0106021,50.0,42.8,1116
"Atlanta, Georgia",Atlanta,479655.0,33.7489954,-84.3879824,64.4,60.8,793
"Jacksonville, Florida",Jacksonville,878907.0,30.3321838,-81.65565099999998,84.0,75.0,143
"Chicago, Illinois",Chicago,2718555.0,41.8781136,-87.62979820000002,57.0,55.99,569
"Fort Wayne, Indiana",Fort Wayne,264052.0,41.079273,-85.13935129999999,53.6,51.8,35
"Wichita, Kansas",Wichita,389563.0,37.68717609999999,-97.330053,64.99,62.6,33
"Baltimore, Maryland",Baltimore,614700.0,39.2903848,-76.6121893,48.99,46.0,1091
"New Orleans, Louisiana",New Orleans,389648.0,29.95106579999999,-90.0715323,68.0,64.99,67
"St. Paul, Minnesota",St. Paul,302760.0,44.953702899999996,-93.0899578,55.99,53.01,269
"Minneapolis, Minnesota",Minneapolis,416021.0,44.977753,-93.2650108,55.99,53.01,271
"Detroit, Michigan",Detroit,677155.0,42.33142700000001,-83.0457538,50.0,46.4,272
